,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,eidas,Go
29,example-package-dealer,Swift
30,example-package-deckofplayingcards,Swift
31,example-package-figlet,Swift
32,example-package-fisheryates,Swift
33,example-package-playingcard,Swift
34,FHIRModels,Swift
35,foundationdb,C++
36,fstools,C
37,game-center-tools,Python
38,GCGC,Jupyter Notebook
39,homebrew-apple,Ruby
40,HomeKitADK,C
41,learning-compressible-subspaces,Python
42,learning-subspaces,Python
43,live-caller-id-lookup-example,Swift
44,llvm-monorepo-root,
45,llvm-project-v5,C++
46,llvm-project-v5-split,C++
47,MaterialX,
48,ml-4m,Python
49,ml-ademamix,Python
50,ml-afv,Python
51,ml-agm,Python
52,ml-aim,Python
53,ml-all-pairs,Python
54,ml-ane-transformers,Python
55,ml-aspanformer,Python
56,ml-aura,Python
57,ml-autofocusformer,Python
58,ml-autofocusformer-segmentation,Python
59,ml-batchquant,Python
60,ml-behavioral-testing-for-mt,
61,ml-bilevel-train-dist,Python
62,ml-calibration,Jupyter Notebook
63,ml-capsules-inverted-attention-routing,Python
64,ml-cifar-10-faster,Python
65,ml-code-switched-speech-translation,Python
66,ml-codeswitching-translations,
67,ml-collegial-ensembles,Python
68,ml-compress-and-compare,Python
69,ml-core,Python
70,ml-covid-mobility,R
71,ml-cread,Python
72,ml-cross-entropy,Python
73,ml-cvnets,Python
74,ml-cvpr2019-swd,Python
75,ml-dab,Python
76,ml-data-parameters,Python
77,ml-delphi,
78,ml-depth-pro,Python
79,ml-destseg,Python
80,ml-diffusion-alignment-gflownet,Python
81,ml-direct2.5,Python
82,ml-divide-or-conquer,Python
83,ml-dms-dataset,Python
84,ml-dprecs,Jupyter Notebook
85,ml-dr,Python
86,ml-duet,Python
87,ml-entity-deduction-arena,Python
88,ml-entropy-reconstruction,Python
89,ml-envmapnet,Python
90,ml-equivariant-neural-rendering,Jupyter Notebook
91,ml-facelit,Python
92,ml-famae,Python
93,ml-fastvit,Python
94,ml-fct,Python
95,ml-ferret,Python
96,ml-finerecon,Python
97,ml-flair,Jupyter Notebook
98,ml-gaudi,
99,ml-gendered-translation,Ruby
100,ml-gmpi,Python
101,ml-gsn,Python
102,ml-hd-gist,Python
103,ml-heart-rate-models,Python
104,ml-hierarchical-confusion-matrix,TypeScript
105,ml-hugs,Python
106,ml-hypercloning,Python
107,ml-hypersim,Python
108,ml-interspeech2022-phi_rtn,
109,ml-jointnet,Python
110,ml-key-retrieval-code-tasks,Python
111,ml-keyframer,JavaScript
112,ml-kg-mt,Python
113,ml-kge,Python
114,ml-knowledge-conflicts,Python
115,ml-live-pose,
116,ml-llarp,Python
117,ml-lucid-datagen,Python
118,ml-mad-bench,Jupyter Notebook
119,ml-mcf,Python
120,ml-mdm,Python
121,ml-mgie,Python
122,ml-mia-bench,Jupyter Notebook
123,ml-MixupMP,Python
124,ml-mkqa,Python
125,ml-mobileclip,Python
126,ml-mobileone,Swift
127,ml-mofi,Python
128,ml-multiple-futures-prediction,Python
129,ml-mycelium,JavaScript
130,ml-ncg,Python
131,ml-negative-sampling,Python
132,ml-neilf,Python
133,ml-neilfpp,Python
134,ml-neuman,Python
135,ml-no-token-left-behind,Jupyter Notebook
136,ml-np-rasp,Python
137,ml-nvas3d,Python
138,ml-ogen,Python
139,ml-pgdvs,Python
140,ml-planner,Python
141,ml-pointconvformer,Python
142,ml-pointersect,Python
143,ml-probabilistic-attention,Python
144,ml-projunit,Python
145,ml-qrecc,Python
146,ml-quant,Python
147,ml-recurrent-drafter,Python
148,ml-reed,Python
149,ml-rlgrad,Python
150,ml-robust-expert-augmentations,Python
151,ml-rpm-bench,Python
152,ml-sad,Python
153,ml-sampleplan,Python
154,ml-selfcond,Python
155,ml-shuffling-amplification,Python
156,ml-sigma-reparam,Python
157,ml-sigmoid-attention,Python
158,ml-slowfast-llava,Python
159,ml-spatial-librispeech,
160,ml-spin,Python
161,ml-stable-diffusion,Python
162,ml-stabledreamer,
163,ml-stuttering-events-dataset,Python
164,ml-superposition-prompting,Python
165,ml-symphony,Svelte
166,ml-tic-clip,Python
167,ml-toad,Python
168,ml-tract,Python
169,ml-transcript-translation-consistency-ratings,
170,ml-translate-vis,TypeScript
171,ml-tree-dst,Python
172,ml-tune-mode-convbn,Python
173,ml-tweak,Python
174,ml-upscale,Jupyter Notebook
175,ml-uwac,Python
176,ml-veclip,Jupyter Notebook
177,ml-vfi-smiff,Python
178,ml-vfm-kt,
179,ml-vision-transformers-ane,Python
180,music-feed-examples,Java
181,openjdk,Java
182,password-manager-resources,JavaScript
183,pfl-research,Jupyter Notebook
184,pkl,Java
185,pkl-evolution,
186,pkl-go,Go
187,pkl-go-examples,Go
188,pkl-intellij,Kotlin
189,pkl-jvm-examples,Groovy
190,pkl-k8s,Pkl
191,pkl-k8s-examples,
192,pkl-lang.org,JavaScript
193,pkl-lsp,Kotlin
194,pkl-neovim,Scheme
195,pkl-package-docs,Kotlin
196,pkl-pantry,Pkl
197,pkl-project-commons,
198,pkl-spring,Java
199,pkl-swift,Swift
200,pkl-swift-examples,Swift
201,pkl-vscode,TypeScript
202,pkl.tmbundle,
203,pytorch-speech-features,Python
204,rules_pkl,Starlark
205,sample-backyard-birds,Swift
206,sample-cloudkit-coredatasync,Swift
207,sample-cloudkit-encryption,Swift
208,sample-cloudkit-privatedb,Swift
209,sample-cloudkit-privatedb-sync,Swift
210,sample-cloudkit-queries,Swift
211,sample-cloudkit-sharing,Swift
212,sample-cloudkit-sync-engine,Swift
213,sample-cloudkit-tooling,JavaScript
214,sample-cloudkit-zonesharing,Swift
215,sample-food-truck,Swift
216,security-pcc,Swift
217,servicetalk,Java
218,swift-3-api-guidelines-review,Swift
219,swift-algorithms,Swift
220,swift-aoc-starter-example,Swift
221,swift-argument-parser,Swift
222,swift-asn1,Swift
223,swift-async-algorithms,Swift
224,swift-async-dns-resolver,Swift
225,swift-atomics,Swift
226,swift-cassandra-client,Swift
227,swift-certificates,Swift
228,swift-clang,C++
229,swift-clang-tools-extra,C++
230,swift-cluster-membership,Swift
231,swift-cmake-examples,CMake
232,swift-collections,Swift
233,swift-collections-benchmark,Swift
234,swift-compiler-rt,C
235,swift-container-plugin,Swift
236,swift-crypto,C
237,swift-distributed-actors,Swift
238,swift-distributed-tracing,Swift
239,swift-distributed-tracing-baggage-core,Swift
240,swift-distributed-tracing-extras,Swift
241,swift-embedded-examples,Swift
242,swift-evolution-staging,Swift
243,swift-for-wasm-examples,Swift
244,swift-getting-started-cli,Swift
245,swift-getting-started-package-library,Swift
246,swift-homomorphic-encryption,Swift
247,swift-homomorphic-encryption-protobuf,
248,swift-http-structured-headers,Swift
249,swift-http-types,Swift
250,swift-internals,HTML
251,swift-issues,
252,swift-libcxx,C++
253,swift-llbuild2,Swift
254,swift-lldb,C++
255,swift-llvm,LLVM
256,swift-log,Swift
257,swift-matter-examples,Swift
258,swift-metrics,Swift
259,swift-metrics-extras,Swift
260,swift-migration-guide,Markdown
261,swift-mmio,Swift
262,swift-nio,Swift
263,swift-nio-examples,Swift
264,swift-nio-extras,Swift
265,swift-nio-http2,Swift
266,swift-nio-imap,Swift
267,swift-nio-nghttp2-support,Swift
268,swift-nio-oblivious-http,Swift
269,swift-nio-ssh,Swift
270,swift-nio-ssl,C
271,swift-nio-ssl-support,Swift
272,swift-nio-transport-services,Swift
273,swift-nio-zlib-support,Swift
274,swift-numerics,Swift
275,swift-openapi-generator,Swift
276,swift-openapi-runtime,Swift
277,swift-openapi-urlsession,Swift
278,swift-playdate-examples,Swift
279,swift-protobuf,Swift
280,swift-protobuf-plugin,
281,swift-protobuf-test-conformance,
282,swift-sample-distributed-actors-transport,Swift
283,swift-service-context,Swift
284,swift-service-discovery,Swift
285,swift-standard-library-preview,Swift
286,swift-statsd-client,Swift
287,swift-string-processing-benchmarks,Swift
288,swift-system,Swift
289,swift-tools-support-async,Swift
290,swift-xcode-playground-support,Swift
291,swiftpm-on-llbuild2,Swift
292,tensor-visualizer,Svelte
293,tensorflow_macos,Shell
294,ToolSandbox,Python
295,tree-sitter-pkl,C
296,turicreate,C++
297,unityplugins,C#
298,VideoFlashingReduction,Mathematica
299,vqg-multimodal-assistant,Python
